market,time,open,high,trade_price,last,change,percent,trade_volume,acc_trade_price,acc24vol,timestamp
KRW-XEM,033635,71.71,72.79,72.0,71.71,RISE,0.0040440664,70497.12309751,9322977761.049572,166955262.44173163,1710700650144
KRW-FCT2,033732,99.71,100.7,100.1,99.7,RISE,0.0040120361,99.9000999,6293955454.820481,86077503.9803818,1710700652403
KRW-LINK,033657,26800.0,27140.0,26900.0,26800.0,RISE,0.0037313433,9.18781404,26007472827.29915,1249046.36003373,1710700650563
KRW-TON,033253,3542.0,3597.0,3555.0,3542.0,RISE,0.0036702428,8.40216156,7286257369.008522,2741402.38602153,1710700650605
KRW-MBL,033631,8.14,8.84,8.163,8.14,RISE,0.0028255528,5.5e-07,32362908363.307167,4244916121.32842,1710700650453
KRW-EGLD,033153,92310.0,93500.0,92520.0,92280.0,RISE,0.0026007802,1.04659263,10465409731.373913,153305.01046263,1710700650974
KRW-ONG,033749,560.0,566.7,561.5,560.4,RISE,0.0019628837,17.69285208,5188236372.352993,11799743.08855839,1710700669340
KRW-ARDR,033728,172.3,175.8,172.5,172.3,RISE,0.0011607661,57.97101449,5467213615.464439,43477152.41185859,1710700650168
KRW-STRIKE,033700,20370.0,20640.0,20390.0,20370.0,RISE,0.000981836,73.56555831,7594971740.617699,483640.8895388,1710700650765
KRW-ARK,033712,1488.0,1500.0,1489.0,1488.0,RISE,0.000672043,6.71591673,17057651605.987606,15145993.52669547,1710700650173
KRW-HPO,033749,141.5,143.8,142.0,142.0,EVEN,0.0,70.27406886,5182547445.509101,49684015.05428261,1710700669734
KRW-AQT,033749,2472.0,2525.0,2469.0,2471.0,FALL,-0.0008093889,20.25111305,5438690014.906343,2751822.6802201,1710700669131
KRW-LOOM,033657,158.3,159.9,158.1,158.3,FALL,-0.0012634239,2188.2561001,15388012468.607506,131502224.9707477,1710700650277
KRW-HIVE,033745,584.4,590.0,583.3,584.4,FALL,-0.0018822724,17.14383679,8505615507.911049,19635529.21375007,1710700665570
KRW-ICX,033741,450.6,454.9,447.3,448.2,FALL,-0.0020080321,22.36636099,7586781301.641272,22588324.63316378,1710700661354
KRW-ORBS,033432,62.71,63.0,62.33,62.58,FALL,-0.0039948865,16420.36041118,9321227073.456638,201463208.0888463,1710700650499
KRW-GMT,033738,454.6,459.9,452.6,454.5,FALL,-0.004180418,11.26822801,26775665201.18866,74965779.7520387,1710700658075
KRW-AHT,033622,13.9,14.12,13.88,13.94,FALL,-0.0043041607,1177.25888487,9933409257.384565,912300727.5469891,1710700650559
KRW-BSV,033735,123350.0,124800.0,122900.0,123500.0,FALL,-0.0048582996,6.10252239,33619853310.792713,387367.59055181,1710700655573
KRW-BAT,033455,459.3,469.7,456.9,459.3,FALL,-0.0052253429,773.03693489,7830135362.743619,22678091.42398657,1710700650293
KRW-GAS,033738,9737.0,9840.0,9686.0,9737.0,FALL,-0.0052377529,9.9e-07,23965127282.634426,3418222.46838169,1710700658282
KRW-ASTR,033746,214.0,218.1,212.8,214.0,FALL,-0.0056074766,23.96616541,49746224438.48973,301142181.7793429,1710700666960
KRW-MLK,033731,554.4,562.0,552.8,556.2,FALL,-0.006112909,18.08972503,17024431305.31922,41169946.39095579,1710700651245
KRW-SXP,033745,647.5,653.8,643.1,647.5,FALL,-0.0067953668,8.26932047,13670620730.894182,29000023.24364601,1710700665080
KRW-SBD,033735,6548.0,6617.0,6515.0,6562.0,FALL,-0.0071624505,1.53491941,3973161088.856871,808021.82047727,1710700655986
KRW-ELF,033653,887.6,892.2,882.0,888.9,FALL,-0.007762403,5.78231292,4228908436.1788034,6370419.99825617,1710700650351
KRW-KNC,033709,1294.0,1305.0,1280.0,1291.0,FALL,-0.0085205267,411.69970025,11216325904.774591,12279500.76621943,1710700650363
KRW-GRS,033634,874.6,875.0,864.3,872.5,FALL,-0.0093982808,465.27271624,12549072875.532434,20514045.5270869,1710700650183
KRW-MOC,033648,177.0,179.3,175.1,176.8,FALL,-0.0096153846,4080.87397397,14475169781.902893,106931021.16713648,1710700650407
KRW-HIFI,033749,1340.0,1351.0,1325.0,1340.0,FALL,-0.0111940299,234.4806103,20454323113.658764,19391334.55239881,1710700669864
KRW-POWR,033633,581.8,588.5,574.9,582.3,FALL,-0.012708226,747.82327863,26971921136.148205,60990569.66595388,1710700650203
KRW-HUNT,033743,691.5,694.1,681.4,691.4,FALL,-0.0144634076,167.43145228,16305815663.39771,31313092.91505681,1710700663713
KRW-CTC,033659,1223.0,1227.0,1203.0,1222.0,FALL,-0.0155482815,616.25509084,34199099114.335995,41472625.03379172,1710700651030
KRW-TRX,033744,185.5,185.9,182.6,185.6,FALL,-0.0161637931,1681.70742475,17088568405.344416,133303440.283447,1710700664787
KRW-JST,033655,55.68,55.68,54.47,55.68,FALL,-0.0217313218,10086.35096674,3342397905.0749955,80752753.59445164,1710700650586
KRW-BLUR,033743,927.8,927.9,899.4,927.8,FALL,-0.0306100453,5.67044696,28783609508.081627,47670884.21001299,1710700663921
KRW-ARB,033749,2603.0,2618.0,2511.0,2604.0,FALL,-0.0357142857,2.81054879,51405987064.23609,24288278.68316054,1710700669866
KRW-SEI,033737,1339.0,1346.0,1277.0,1339.0,FALL,-0.0463032114,65.73428835,203284091925.41287,237025110.0863067,1710700657200
KRW-PDA,033707,300.9,304.0,285.2,300.1,FALL,-0.0496501166,23.58499824,47074257981.4556,182965484.27038673,1710700650642
KRW-ZRX,033744,2015.0,2098.0,1912.0,2015.0,FALL,-0.0511166253,673.5009548,168693668604.03397,108644103.3352557,1710700664572
KRW-SUI,033733,2417.0,2420.0,2250.0,2417.0,FALL,-0.0690939181,29.25862222,133907218217.052,84029623.1139496,1710700653858
