market,trade_date_utc,trade_time_utc,timestamp,trade_price,trade_volume,prev_closing_price,change_price,ask_bid,sequential_id
KRW-TT,2024-03-19,15:11:22,1710861082404,7.855,739474.98791541,8.01,-0.155,ASK,17108610824040002
KRW-TT,2024-03-19,15:11:22,1710861082404,7.856,99977.88783815,8.01,-0.154,ASK,17108610824040001
KRW-TT,2024-03-19,15:11:22,1710861082404,7.856,1000.0,8.01,-0.154,ASK,17108610824040000
KRW-TT,2024-03-19,15:11:21,1710861081212,7.863,85605.03486131,8.01,-0.147,ASK,17108610812120000
KRW-TT,2024-03-19,15:11:21,1710861081018,7.863,42284.00240182,8.01,-0.147,ASK,17108610810180000
KRW-TT,2024-03-19,15:11:18,1710861078751,7.864,4228.69871307,8.01,-0.146,ASK,17108610787510000
KRW-TT,2024-03-19,15:11:13,1710861073143,7.864,38922.53848623,8.01,-0.146,ASK,17108610731430001
KRW-TT,2024-03-19,15:11:13,1710861073143,7.864,15007.76781071,8.01,-0.146,ASK,17108610731430000
KRW-TT,2024-03-19,15:11:04,1710861064623,7.864,112153.98193496,8.01,-0.146,ASK,17108610646230002
KRW-TT,2024-03-19,15:11:04,1710861064623,7.864,25264.77619532,8.01,-0.146,ASK,17108610646230001
KRW-TT,2024-03-19,15:11:04,1710861064623,7.864,54283.54988428,8.01,-0.146,ASK,17108610646230000
KRW-TT,2024-03-19,15:10:54,1710861054566,7.864,72814.65076107,8.01,-0.146,ASK,17108610545660001
KRW-TT,2024-03-19,15:10:54,1710861054566,7.864,187207.11874535,8.01,-0.146,ASK,17108610545660000
KRW-TT,2024-03-19,15:10:46,1710861046440,7.864,200295.46770303,8.01,-0.146,ASK,17108610464400001
KRW-TT,2024-03-19,15:10:46,1710861046440,7.864,63517.32577251,8.01,-0.146,ASK,17108610464400000
KRW-TT,2024-03-19,15:10:36,1710861036262,7.879,636.45621181,8.01,-0.131,BID,17108610362620000
KRW-TT,2024-03-19,15:09:55,1710860995446,7.856,30000.0,8.01,-0.154,ASK,17108609954460000
KRW-TT,2024-03-19,15:09:47,1710860987488,7.88,12690.35532994,8.01,-0.13,BID,17108609874880000
